,method,Dataset and metric,Value
0,uniform,MAE test,0.07480310060769563
1,uniform,RMSE test,0.104018468683296
2,uniform,MAE validation,0.07454207763671875
3,uniform,RMSE validation,0.10309097647773674
4,uniform,MAE train,0.07383051056557513
5,uniform,RMSE train,0.10232510545424348
6,normal,MAE test,0.0641736056699691
7,normal,RMSE test,0.08859468599067075
8,normal,MAE validation,0.0638540283203125
9,normal,RMSE validation,0.0895317441783535
10,normal,MAE train,0.062420985445063165
11,normal,RMSE train,0.08707635186776504
12,lecun,MAE test,0.04018115753668825
13,lecun,RMSE test,0.055782121310261105
14,lecun,MAE validation,0.040795751953125
15,lecun,RMSE validation,0.056094695059378176
16,lecun,MAE train,0.03738740442154255
17,lecun,RMSE train,0.05035439234492141
18,lecun_normal,MAE test,0.04159327410637365
19,lecun_normal,RMSE test,0.057958157531168904
20,lecun_normal,MAE validation,0.04185791625976563
21,lecun_normal,RMSE validation,0.057490269573622736
22,lecun_normal,MAE train,0.03860713747714428
23,lecun_normal,RMSE train,0.05266475467826437
24,xavier,MAE test,0.040211618906333554
25,xavier,RMSE test,0.05754823076767932
26,xavier,MAE validation,0.04036605224609375
27,xavier,RMSE validation,0.057236772062659175
28,xavier,MAE train,0.03796792537608045
29,xavier,RMSE train,0.05349878469042997
30,xavier_normal,MAE test,0.03952854445015893
31,xavier_normal,RMSE test,0.05646317531076207
32,xavier_normal,MAE validation,0.040224853515625
33,xavier_normal,RMSE validation,0.05712722123750344
34,xavier_normal,MAE train,0.037347490026595744
35,xavier_normal,RMSE train,0.052158330334202425
36,kaiming,MAE test,0.04997360304739023
37,kaiming,RMSE test,0.06985944496057489
38,kaiming,MAE validation,0.0503429931640625
39,kaiming,RMSE validation,0.06957220684301874
40,kaiming,MAE train,0.04248393606632314
41,kaiming,RMSE train,0.055800494051667
42,kaiming_normal,MAE test,0.047291189341839464
43,kaiming_normal,RMSE test,0.06927807526492716
44,kaiming_normal,MAE validation,0.04741793823242187
45,kaiming_normal,RMSE validation,0.06695166529485291
46,kaiming_normal,MAE train,0.040215744992519946
47,kaiming_normal,RMSE train,0.05393723427559952
